College,Program Level,Corporate Partners,Technology Sectors,Tiers of Membership,Tier Benefits,Fee Info,Reference Website
Princeton University,College,"American Towers, Ericsson, Keysight, Nokia Bell, Qualcomm, Samsung Research,
Verizon, Texas Instruments ","Wireless Communications, Telecommunication, Electronic Equipment Manufacturing,
Semiconductors","Affiliate Membership, Leadership Membership","Affiliate
NextG Annual Meeting
NextG Documents on Research, Technology Trends, and Policy
Student Recruitment Opportunities 

Leadership
All Affiliate Membership Benefits, PLUS:
Seat on NextG Advisory Committee
Annual NextG Technology Disruption CXO Roundtable
NextG Policy Maker Convenings and Position Papers
Leadership Role in Forging Industry-Government-Academia Partnerships with Princeton
Targeted Research Support
Option to Sponsor Student Awards
On-site Visits of Faculty & Students ",Fees not listed publically,https://nextg.princeton.edu/corporate-program/
Columbia University,College,Member companies not listed publically,"AI/ML, networking, biomedical, photonics, systems",Affiliate Programs,"Our partners gain access to faculty expertise, specialized resources for R&D, and outstanding talent. Through this program, we will establish connections between your company and every facet of Columbia Engineering, spanning fundamental & applied research, emerging talent, senior leadership, and community outreach. We are thrilled to provide this comprehensive suite of benefits to our Strategic Partners.

Unlock World-Class Research Opportunities
Engage in Insightful Events & Programming
Access Exceptional Talent",Fees not listed publically,https://www.engineering.columbia.edu/info-for-partners
Purdue University,Department,"AMD, Applied Materials, Aptiv, Belden, Boeing, Cadence, BorgWarner, 
Caterpillar, Humana, Intel, GM, Keysight, John Deere, Eli Lilly, Qualcomm, etc.",,"Gold Tier, Black Tier, Bronze Tier","Gold Tier


    Full access to ECE Boilermaker Circuit career fairs in both Indianapolis and West Lafayette, and virtual recruiting online platform
    6 recruiting events
    6 classroom visits
    Unlimited Ideas to Innovation project proposals
    2 presentations at ECE Stories of Success
    Promotion of jobs and campus events via flyers, emails, social media, database, and class announcements

spark design challenge
Black Tier

    Full access to ECE Boilermaker Circuit career fairs in both Indianapolis and West Lafayatte, and Spark Design Challenge
    4 recruiting events
    4 classroom visits
    1 Ideas to Innovation project proposal
    1 presentation at ECE Stories of Success
    Consulting options
    Promotion of jobs and campus events via flyers, emails, social media, and database

stories of success lecture
Bronze Tier


    Full access to ECE Boilermaker Circuit career fairs in both Indianapolis and West Lafayette
    2 recruiting events per academic year
    2 classroom visits per academic year
    Promotion of jobs and campus events via flyers and targeted student emails

","Gold: $25000
Black: $15000
Bronze: $5000",https://engineering.purdue.edu/ECE/Partnerships
Cornell University,College,"ASML, BAE Systems, Boeing, Booz Allen, Cummins, Lockhead Martin, MITRE, EdAssist","Semiconductors, Aerospace & Defense, Power propulsion, Systems Engineering, Educational Technology",Coporate Partner,"
    There is no cost to the corporate partner to set up a partnership. It is simply a commitment to promote and encourage employees to further their education and to reach their educational goals. The Systems Engineering program will provide degree information and materials that you may share with your interested employees.
    No minimum number of employees need to enroll.
    Becoming a partner does not limit the employees to enroll with Systems Engineering only. It simply means that if any employee chooses to enroll in our program, they will receive the benefits included in the partnership agreement.",$0,https://www.engineering.cornell.edu/sys/distance-learning-meng-systems-engineering/corporate-partners/
"University of California, Los Angeles (UCLA)",College,"Aerospace Corporation, DRW, Fetch AI, Glean, Google, Jane Street,
Meta, Lockhead Martin, Sandia National Labs, Stripe, Visa, 
Samsung, Verkada","semiconductors, data/AI, networking, embedded/defense, digital payments,
aerospace, research, consumer electronics","Gold, Silver, Bronze, Blue, Green","Blue and Green


    Recognition on our digital display and department webpage at cs.ucla.edu
    Info-session with current students
    Space at the annual CS career fair
    List open positions on internal UCLA CS job board


Bronze


    Includes Blue Level benefits along with:
    Direct contact with CS undergraduate student groups through undergrad resume book, announcements in student newsletters, and promotional material in student clubhouse
    Access to on-campus rooms for interviews, office hours, etc.
    Complimentary career fair
    Networking with CS undergraduate student groups to organize Info-Sessions, Tech-Talks, Hackathons, Competitions, and Company Tours per chairman’s discretion


Silver


    Includes Bronze Level benefits along with:
    Customized assistance in contacting graduate students in the areas of interest to the member company; assistance to set up on-site interviews
    Invitation to present one technical talk each year at the department-wide seminar series to highlight member company’s research and technology
    Opportunity to host Tea Time
    Complimentary parking for vehicles when recruiting at the UCLA Computer Science Department
    Facilitating the interaction with faculty members in the areas of interest, including research collaborations, reference checking, summer internships, and consulting
    Direct contact with CS undergraduate student groups in the form of: 1) a resume portfolio of CS undergraduate students; 2) member company logo listed on student group websites as a sponsor and in conjunction with any large events the member chooses to hold; 3) logo representation in the form of student group t-shirts; 4) product placement or logo representation in videos produced by CS undergraduates; 5) member company announcements included in student newsletters, which reach approximately 1,800 people; 6) member company promotional material in the student group clubhouse.
    An invitation to attend the Computer Science Department’s Distinguished Lecture Series


Gold


    Includes Silver Level benefits along with:
    Customized assistance in contacting graduate students in the areas of interest to the member company; assistance to set up on-site interviews
    Close ties with a specified research laboratory or center with regular meetings and visits for exchanges of research problems and results
    One industrial visitor within the specified laboratory/center in the Computer Science Department for a period of up to 12 months. The visitor is provided with office space and is given full access to our computer facilities, libraries, and research laboratories, and the visitor is entitled to attend all classes and lectures and to freely interact with our faculty and students
    One representative on the department’s advisory board to provide valuable input and feedback to the department regarding its education and research directions
    Participation in the undergraduate senior-year project program in which the member company can propose a year-long project for a team of 3-4 students to work on as their senior-year project under the supervision of a faculty advisor

","Gold: $50000
Silver: $10000
Bronze: $5000
Blue: $2500
Green: $0
",https://www.cs.ucla.edu/affiliate-memberships/
Harvard University,College,Member companies not listed publically,"Power/energy + AI, photonics, advanced materials, applied sciences",Industry Affiliate Programs,"Advisory board involvement, access to students/faculty, research collaboration, event participation",Fees not listed publically,"https://seas.harvard.edu/office-industry-partnerships/partnership-opportunities
https://seas.harvard.edu/industry-affiliate-programs"
University of Pennsylvania,College,"Amazon, Autel Robotics, Colgate Palmolive, Comcast, Exxonmobil, 
Hershey, Intel, Qualcomm, Samsung","Cloud computing, E-commerce, Consumer Goods, Telecommunications,
Energy, Semiconductors, Wireless Communications, Consumer Electronics",Industry Affiliate Programs,"Early access to cutting-edge research: Receive early exposure to ongoing results through direct contact with ASSET researchers

Knowledge exchange: Join our weekly seminar, informal reading groups, and campus visits to learn more about innovations in trustworthy AI

Recruiting: Build connections to talented and highly motivated undergraduate, graduate, and post-doctoral students for internships and full-time jobs

Industry day: Annual day-long workshop to bring together researchers from Penn and industry affiliates

Acknowledgement: On ASSET website and promotional material","$20,000","https://asset.seas.upenn.edu/industry-affiliates/
https://research.seas.upenn.edu/collaboration/"
Johns Hopkins University,Colllege,"Amazon, Bayer, Bristol-Meyers Squibb, Google, Johnson and Johnson,
Lockhead Martin, Microsoft, Raytheon, Toshiba","Cloud computing, E-commerce, Biotech, medical devices, Aerospace & Defense, 
Software, Electronics equipment",Corporate Partner,"Student recruiting, sponsored research, lab access, events. Working in partnership with our pioneering faculty and our driven and creative students, you have the means to address some of society’s most complex and critical problems. We can help you find and develop talent, expand your reach, and build your brand story. Together we will create solutions and prepare visionary leaders ready to implement them. Hopkins Engineering works closely with researchers and clinicians at JHU’s School of Medicine, Bloomberg School of Public Health, and the Applied Physics Laboratory—the largest university-affiliated research center in the United States.

Johns Hopkins Technology Ventures (JHTV) facilitates the translation and commercialization of discoveries into accessible technologies, and licenses more than 2,000 inventions that were borne at JHU.

Our global network includes dozens of partner academic institutions and R&D sites in 100+ countries—as well as our 10,000+ international alumni.",Fees not listed publically,https://engineering.jhu.edu/partner-with-us/
University of Wisconsin–Madison,College,"Big Joe, Epic, KLA, Findroff, Brunswick, ABB, GE Healthcare, Grainger,
Miluawkee, Qualcomm, Plexus, MSA","Industrial Technology, Healthcare Software, Semiconductor, Medical Imaging,
Wireless Communications","Silver, Bronze","Recruiting events, research collaborations, sponsored projects, visibility",Fees not listed publically,"https://ocr.engineering.wisc.edu/
https://ecs.wisc.edu/students/employer-partners-program/"
Texas A&M University,Department,"Cirrus Login, Diodes Inc, Electric Power Engineers, Samsung, Marvell, Powell,
Arm, RTX, LANL, Sandia National Labs, Texas Instruments","Semiconductors & Microcontrollers, Aerospace & Defense, Enery Systems,
Consumer Electronics","Diamond, Platinum, Gold, Silver, Bronze","Our IAP allows you to engage directly with our students through tabling events, seminars, and other company-hosted events. A dedicated staff member will assist with planning and strategy to help maximize the impact of your recruiting efforts.

Sponsorship is an ideal way to enhance your company's brand. Becoming a sponsor means you gain exclusive access to a select group of high-achieving students through members-only opportunities. These valuable events provide a way to meet and actively recruit top talent for your organization.","Gold: $25000
Silver: $15000",https://engineering.tamu.edu/electrical/industrial-affiliates/index.html
