College,Program_Level,Corporate_Partners,Technology_Sectors,Tiers_of_Membership,Tier_Benefits,Fee_Info,Reference_Website
Massachusetts Institute of Technology (MIT),Department,SpreeAI,"Hardware & Semiconductors, AI/ML, Finance, Data Science, Cloud & Software Platforms,  E-commerce & Digital Media","EECS Alliance Member, EECS Alliance Affiliate Member","EECS Alliance Affiliate Member: • Participate in the MIT 6A Internship Program • Promote company job openings, internships, events, and opportunities with EECS students • Participate in EECS career fairs • Access to student resume booklet • Attend diversity, equity, and inclusion focused events • Fall and spring recruiting sessions • Newsletters EECS Alliance Member: In addition to all Affiliate benefits, Alliance Members are also provided: • Further opportunities to collaborate with students via competitions, project mentorship, events, and more • Invitations to various EECS and MIT events • Participate and organize seminars and guest lectures • Participate and organize diversity, equity, and inclusion focused events • Involvement in the MIT EECS startup ecosystem, through events, networking, etc.",EECS Alliance Affiliate Member: $20000 EECS Alliance Member: $50000,https://www.eecs.mit.edu/home/eecs-alliance-2/
Stanford University,College,Amazon,"AI, Data Science, Aerospace & Defense, E-commerce","Affiliates Membership, DSA Memberships, etc.","Benefits of Affiliates Membership Members in the Aeronautics and Astronautics Industrial Affiliates Program receive the following benefits:     Participation in annual technical meeting     An annual, one-day meeting where state-of-the-art research is presented by students and faculty in the department, with opportunities for interaction and lab visits.     Direct contact with faculty     A faculty member with appropriate technical interests serves as the affiliate's point of contact within the department. Affiliate companies may contact faculty members for further consultation, discussions and to arrange visits to the affiliate's site. The purpose of these visits is to make technical presentations of the Program’s research results. The site presentations and all information, data and results arising from such visitation interactions will be shared with all members and the public.     Dissemination of technical information     Members have online access to all research and poster presentations that take place during the annual meeting.     Exchange of visitors     Opportunities for members to send Visiting Scholars under the University's policies to work in the department's research facilities.     Interaction with industry representatives from other member companies     Opportunities to meet with senior representatives of other affiliate companies.     Contact with graduate students     Affiliates can meet with graduate research students during campus visits and discuss potential job opportunities for them for summer internships or full-time employment.     The Aeronautics and Astronautics Industrial Affiliates Program Researchers will use and develop open-source software, and it is the intention of all Aeronautics and Astronautics Industrial Affiliates Program Program researchers that any software released will be released under an open source model, such as BSD. The Program is open to all Stanford faculty who share this goal.",50 Employees: $10000 50-250: $15000 251-500: $20000 500+: $35000 Regular DSA membership: $150000 Founding DSA membership: $300000,https://aa.stanford.edu/get-involved/industrial-affiliates-program? https://dsa.stanford.edu/dsa-membership
Stanford University,College,MUFG,"AI, Data Science, Aerospace & Defense, E-commerce","Affiliates Membership, DSA Memberships, etc.","Benefits of Affiliates Membership Members in the Aeronautics and Astronautics Industrial Affiliates Program receive the following benefits:     Participation in annual technical meeting     An annual, one-day meeting where state-of-the-art research is presented by students and faculty in the department, with opportunities for interaction and lab visits.     Direct contact with faculty     A faculty member with appropriate technical interests serves as the affiliate's point of contact within the department. Affiliate companies may contact faculty members for further consultation, discussions and to arrange visits to the affiliate's site. The purpose of these visits is to make technical presentations of the Program’s research results. The site presentations and all information, data and results arising from such visitation interactions will be shared with all members and the public.     Dissemination of technical information     Members have online access to all research and poster presentations that take place during the annual meeting.     Exchange of visitors     Opportunities for members to send Visiting Scholars under the University's policies to work in the department's research facilities.     Interaction with industry representatives from other member companies     Opportunities to meet with senior representatives of other affiliate companies.     Contact with graduate students     Affiliates can meet with graduate research students during campus visits and discuss potential job opportunities for them for summer internships or full-time employment.     The Aeronautics and Astronautics Industrial Affiliates Program Researchers will use and develop open-source software, and it is the intention of all Aeronautics and Astronautics Industrial Affiliates Program Program researchers that any software released will be released under an open source model, such as BSD. The Program is open to all Stanford faculty who share this goal.",50 Employees: $10000 50-250: $15000 251-500: $20000 500+: $35000 Regular DSA membership: $150000 Founding DSA membership: $300000,https://aa.stanford.edu/get-involved/industrial-affiliates-program? https://dsa.stanford.edu/dsa-membership
Stanford University,College,Hitachi,"AI, Data Science, Aerospace & Defense, E-commerce","Affiliates Membership, DSA Memberships, etc.","Benefits of Affiliates Membership Members in the Aeronautics and Astronautics Industrial Affiliates Program receive the following benefits:     Participation in annual technical meeting     An annual, one-day meeting where state-of-the-art research is presented by students and faculty in the department, with opportunities for interaction and lab visits.     Direct contact with faculty     A faculty member with appropriate technical interests serves as the affiliate's point of contact within the department. Affiliate companies may contact faculty members for further consultation, discussions and to arrange visits to the affiliate's site. The purpose of these visits is to make technical presentations of the Program’s research results. The site presentations and all information, data and results arising from such visitation interactions will be shared with all members and the public.     Dissemination of technical information     Members have online access to all research and poster presentations that take place during the annual meeting.     Exchange of visitors     Opportunities for members to send Visiting Scholars under the University's policies to work in the department's research facilities.     Interaction with industry representatives from other member companies     Opportunities to meet with senior representatives of other affiliate companies.     Contact with graduate students     Affiliates can meet with graduate research students during campus visits and discuss potential job opportunities for them for summer internships or full-time employment.     The Aeronautics and Astronautics Industrial Affiliates Program Researchers will use and develop open-source software, and it is the intention of all Aeronautics and Astronautics Industrial Affiliates Program Program researchers that any software released will be released under an open source model, such as BSD. The Program is open to all Stanford faculty who share this goal.",50 Employees: $10000 50-250: $15000 251-500: $20000 500+: $35000 Regular DSA membership: $150000 Founding DSA membership: $300000,https://aa.stanford.edu/get-involved/industrial-affiliates-program? https://dsa.stanford.edu/dsa-membership
Stanford University,College,Blue Origin,"AI, Data Science, Aerospace & Defense, E-commerce","Affiliates Membership, DSA Memberships, etc.","Benefits of Affiliates Membership Members in the Aeronautics and Astronautics Industrial Affiliates Program receive the following benefits:     Participation in annual technical meeting     An annual, one-day meeting where state-of-the-art research is presented by students and faculty in the department, with opportunities for interaction and lab visits.     Direct contact with faculty     A faculty member with appropriate technical interests serves as the affiliate's point of contact within the department. Affiliate companies may contact faculty members for further consultation, discussions and to arrange visits to the affiliate's site. The purpose of these visits is to make technical presentations of the Program’s research results. The site presentations and all information, data and results arising from such visitation interactions will be shared with all members and the public.     Dissemination of technical information     Members have online access to all research and poster presentations that take place during the annual meeting.     Exchange of visitors     Opportunities for members to send Visiting Scholars under the University's policies to work in the department's research facilities.     Interaction with industry representatives from other member companies     Opportunities to meet with senior representatives of other affiliate companies.     Contact with graduate students     Affiliates can meet with graduate research students during campus visits and discuss potential job opportunities for them for summer internships or full-time employment.     The Aeronautics and Astronautics Industrial Affiliates Program Researchers will use and develop open-source software, and it is the intention of all Aeronautics and Astronautics Industrial Affiliates Program Program researchers that any software released will be released under an open source model, such as BSD. The Program is open to all Stanford faculty who share this goal.",50 Employees: $10000 50-250: $15000 251-500: $20000 500+: $35000 Regular DSA membership: $150000 Founding DSA membership: $300000,https://aa.stanford.edu/get-involved/industrial-affiliates-program? https://dsa.stanford.edu/dsa-membership
Stanford University,College,Lockhead Martin,"AI, Data Science, Aerospace & Defense, E-commerce","Affiliates Membership, DSA Memberships, etc.","Benefits of Affiliates Membership Members in the Aeronautics and Astronautics Industrial Affiliates Program receive the following benefits:     Participation in annual technical meeting     An annual, one-day meeting where state-of-the-art research is presented by students and faculty in the department, with opportunities for interaction and lab visits.     Direct contact with faculty     A faculty member with appropriate technical interests serves as the affiliate's point of contact within the department. Affiliate companies may contact faculty members for further consultation, discussions and to arrange visits to the affiliate's site. The purpose of these visits is to make technical presentations of the Program’s research results. The site presentations and all information, data and results arising from such visitation interactions will be shared with all members and the public.     Dissemination of technical information     Members have online access to all research and poster presentations that take place during the annual meeting.     Exchange of visitors     Opportunities for members to send Visiting Scholars under the University's policies to work in the department's research facilities.     Interaction with industry representatives from other member companies     Opportunities to meet with senior representatives of other affiliate companies.     Contact with graduate students     Affiliates can meet with graduate research students during campus visits and discuss potential job opportunities for them for summer internships or full-time employment.     The Aeronautics and Astronautics Industrial Affiliates Program Researchers will use and develop open-source software, and it is the intention of all Aeronautics and Astronautics Industrial Affiliates Program Program researchers that any software released will be released under an open source model, such as BSD. The Program is open to all Stanford faculty who share this goal.",50 Employees: $10000 50-250: $15000 251-500: $20000 500+: $35000 Regular DSA membership: $150000 Founding DSA membership: $300000,https://aa.stanford.edu/get-involved/industrial-affiliates-program? https://dsa.stanford.edu/dsa-membership
"University of California, Berkeley (UCB)",Department,a16z,"Semiconductors, Hardware, AI & Cloud Platforms, Finance,  Industrial & Sustainability Technology, Interactive Media,  Educational Technology",Corporate Access Program Annual Member,"Develop your on-campus recruitment strategy tailored to your recruiting needs, including: * A dedicated staff relationship manager to help you utilize the program benefits, customize your recruitment strategy, and serve as your entry point into UC Berkeley via EECS. * At least two recruitment-focused events with a student organization’s consultation, partnership, and logistical assistance. * Access to invite-only career fairs: The EECS Career Fair and EECS Internship Fair, in early September. * On-campus interviews, office hours, and access to department resources.","$20,000",https://eecs.berkeley.edu/industry/corporate-access-program/
"University of California, Berkeley (UCB)",Department,Apple,"Semiconductors, Hardware, AI & Cloud Platforms, Finance,  Industrial & Sustainability Technology, Interactive Media,  Educational Technology",Corporate Access Program Annual Member,"Develop your on-campus recruitment strategy tailored to your recruiting needs, including: * A dedicated staff relationship manager to help you utilize the program benefits, customize your recruitment strategy, and serve as your entry point into UC Berkeley via EECS. * At least two recruitment-focused events with a student organization’s consultation, partnership, and logistical assistance. * Access to invite-only career fairs: The EECS Career Fair and EECS Internship Fair, in early September. * On-campus interviews, office hours, and access to department resources.","$20,000",https://eecs.berkeley.edu/industry/corporate-access-program/
"University of California, Berkeley (UCB)",Department,GM,"Semiconductors, Hardware, AI & Cloud Platforms, Finance,  Industrial & Sustainability Technology, Interactive Media,  Educational Technology",Corporate Access Program Annual Member,"Develop your on-campus recruitment strategy tailored to your recruiting needs, including: * A dedicated staff relationship manager to help you utilize the program benefits, customize your recruitment strategy, and serve as your entry point into UC Berkeley via EECS. * At least two recruitment-focused events with a student organization’s consultation, partnership, and logistical assistance. * Access to invite-only career fairs: The EECS Career Fair and EECS Internship Fair, in early September. * On-campus interviews, office hours, and access to department resources.","$20,000",https://eecs.berkeley.edu/industry/corporate-access-program/
"University of California, Berkeley (UCB)",Department,Google,"Semiconductors, Hardware, AI & Cloud Platforms, Finance,  Industrial & Sustainability Technology, Interactive Media,  Educational Technology",Corporate Access Program Annual Member,"Develop your on-campus recruitment strategy tailored to your recruiting needs, including: * A dedicated staff relationship manager to help you utilize the program benefits, customize your recruitment strategy, and serve as your entry point into UC Berkeley via EECS. * At least two recruitment-focused events with a student organization’s consultation, partnership, and logistical assistance. * Access to invite-only career fairs: The EECS Career Fair and EECS Internship Fair, in early September. * On-campus interviews, office hours, and access to department resources.","$20,000",https://eecs.berkeley.edu/industry/corporate-access-program/
"University of California, Berkeley (UCB)",Department,Intel,"Semiconductors, Hardware, AI & Cloud Platforms, Finance,  Industrial & Sustainability Technology, Interactive Media,  Educational Technology",Corporate Access Program Annual Member,"Develop your on-campus recruitment strategy tailored to your recruiting needs, including: * A dedicated staff relationship manager to help you utilize the program benefits, customize your recruitment strategy, and serve as your entry point into UC Berkeley via EECS. * At least two recruitment-focused events with a student organization’s consultation, partnership, and logistical assistance. * Access to invite-only career fairs: The EECS Career Fair and EECS Internship Fair, in early September. * On-campus interviews, office hours, and access to department resources.","$20,000",https://eecs.berkeley.edu/industry/corporate-access-program/
"University of California, Berkeley (UCB)",Department,IXL Learning,"Semiconductors, Hardware, AI & Cloud Platforms, Finance,  Industrial & Sustainability Technology, Interactive Media,  Educational Technology",Corporate Access Program Annual Member,"Develop your on-campus recruitment strategy tailored to your recruiting needs, including: * A dedicated staff relationship manager to help you utilize the program benefits, customize your recruitment strategy, and serve as your entry point into UC Berkeley via EECS. * At least two recruitment-focused events with a student organization’s consultation, partnership, and logistical assistance. * Access to invite-only career fairs: The EECS Career Fair and EECS Internship Fair, in early September. * On-campus interviews, office hours, and access to department resources.","$20,000",https://eecs.berkeley.edu/industry/corporate-access-program/
"University of California, Berkeley (UCB)",Department,Jane Street,"Semiconductors, Hardware, AI & Cloud Platforms, Finance,  Industrial & Sustainability Technology, Interactive Media,  Educational Technology",Corporate Access Program Annual Member,"Develop your on-campus recruitment strategy tailored to your recruiting needs, including: * A dedicated staff relationship manager to help you utilize the program benefits, customize your recruitment strategy, and serve as your entry point into UC Berkeley via EECS. * At least two recruitment-focused events with a student organization’s consultation, partnership, and logistical assistance. * Access to invite-only career fairs: The EECS Career Fair and EECS Internship Fair, in early September. * On-campus interviews, office hours, and access to department resources.","$20,000",https://eecs.berkeley.edu/industry/corporate-access-program/
"University of California, Berkeley (UCB)",Department,NVIDIA,"Semiconductors, Hardware, AI & Cloud Platforms, Finance,  Industrial & Sustainability Technology, Interactive Media,  Educational Technology",Corporate Access Program Annual Member,"Develop your on-campus recruitment strategy tailored to your recruiting needs, including: * A dedicated staff relationship manager to help you utilize the program benefits, customize your recruitment strategy, and serve as your entry point into UC Berkeley via EECS. * At least two recruitment-focused events with a student organization’s consultation, partnership, and logistical assistance. * Access to invite-only career fairs: The EECS Career Fair and EECS Internship Fair, in early September. * On-campus interviews, office hours, and access to department resources.","$20,000",https://eecs.berkeley.edu/industry/corporate-access-program/
"University of California, Berkeley (UCB)",Department,Roblox,"Semiconductors, Hardware, AI & Cloud Platforms, Finance,  Industrial & Sustainability Technology, Interactive Media,  Educational Technology",Corporate Access Program Annual Member,"Develop your on-campus recruitment strategy tailored to your recruiting needs, including: * A dedicated staff relationship manager to help you utilize the program benefits, customize your recruitment strategy, and serve as your entry point into UC Berkeley via EECS. * At least two recruitment-focused events with a student organization’s consultation, partnership, and logistical assistance. * Access to invite-only career fairs: The EECS Career Fair and EECS Internship Fair, in early September. * On-campus interviews, office hours, and access to department resources.","$20,000",https://eecs.berkeley.edu/industry/corporate-access-program/
"University of California, Berkeley (UCB)",Department,Splunk,"Semiconductors, Hardware, AI & Cloud Platforms, Finance,  Industrial & Sustainability Technology, Interactive Media,  Educational Technology",Corporate Access Program Annual Member,"Develop your on-campus recruitment strategy tailored to your recruiting needs, including: * A dedicated staff relationship manager to help you utilize the program benefits, customize your recruitment strategy, and serve as your entry point into UC Berkeley via EECS. * At least two recruitment-focused events with a student organization’s consultation, partnership, and logistical assistance. * Access to invite-only career fairs: The EECS Career Fair and EECS Internship Fair, in early September. * On-campus interviews, office hours, and access to department resources.","$20,000",https://eecs.berkeley.edu/industry/corporate-access-program/
"University of California, Berkeley (UCB)",Department,Visa,"Semiconductors, Hardware, AI & Cloud Platforms, Finance,  Industrial & Sustainability Technology, Interactive Media,  Educational Technology",Corporate Access Program Annual Member,"Develop your on-campus recruitment strategy tailored to your recruiting needs, including: * A dedicated staff relationship manager to help you utilize the program benefits, customize your recruitment strategy, and serve as your entry point into UC Berkeley via EECS. * At least two recruitment-focused events with a student organization’s consultation, partnership, and logistical assistance. * Access to invite-only career fairs: The EECS Career Fair and EECS Internship Fair, in early September. * On-campus interviews, office hours, and access to department resources.","$20,000",https://eecs.berkeley.edu/industry/corporate-access-program/
"University of California, Berkeley (UCB)",Department,SLB,"Semiconductors, Hardware, AI & Cloud Platforms, Finance,  Industrial & Sustainability Technology, Interactive Media,  Educational Technology",Corporate Access Program Annual Member,"Develop your on-campus recruitment strategy tailored to your recruiting needs, including: * A dedicated staff relationship manager to help you utilize the program benefits, customize your recruitment strategy, and serve as your entry point into UC Berkeley via EECS. * At least two recruitment-focused events with a student organization’s consultation, partnership, and logistical assistance. * Access to invite-only career fairs: The EECS Career Fair and EECS Internship Fair, in early September. * On-campus interviews, office hours, and access to department resources.","$20,000",https://eecs.berkeley.edu/industry/corporate-access-program/
"University of California, Berkeley (UCB)",Department,Optiver,"Semiconductors, Hardware, AI & Cloud Platforms, Finance,  Industrial & Sustainability Technology, Interactive Media,  Educational Technology",Corporate Access Program Annual Member,"Develop your on-campus recruitment strategy tailored to your recruiting needs, including: * A dedicated staff relationship manager to help you utilize the program benefits, customize your recruitment strategy, and serve as your entry point into UC Berkeley via EECS. * At least two recruitment-focused events with a student organization’s consultation, partnership, and logistical assistance. * Access to invite-only career fairs: The EECS Career Fair and EECS Internship Fair, in early September. * On-campus interviews, office hours, and access to department resources.","$20,000",https://eecs.berkeley.edu/industry/corporate-access-program/
California Institute of Technology (Caltech),Department,Activision,"AI, Data Analytics, Fintech, Semiconductors, Autonomous Systems, Hardware & Embedded Systems, Gaming, Aerospace, Biotech, Industrial Tech, Construction","Corporate Member, Individual Member","Corporate Members     Host a booth at     Attend Techfest     Attend Meeting of the Minds     Give a featured Tech Talk     Host a ""Dinner for Eight"" to network with students and postdocs     Attend workshops and seminars     Receive announcements regarding sponsorship and involvement opportunities for a wide variety of activities such as workshops, student clubs and hackathons, research collaborations, and course projects Individual Members The CMS-EE Department is happy to welcome alumni and other individuals to the CMS-EE Partners Program. Individual members are invited to attend departmental events such as seminars, Techfest, and Meeting of the Minds. The CMS-EE Partners Program is a great way for alumni to stay engaged, or re-engage, with the CMS and EE Departments.","Not publically listed, varies depending on company size",https://cms-ee-partners.caltech.edu?
California Institute of Technology (Caltech),Department,Applied Intuition,"AI, Data Analytics, Fintech, Semiconductors, Autonomous Systems, Hardware & Embedded Systems, Gaming, Aerospace, Biotech, Industrial Tech, Construction","Corporate Member, Individual Member","Corporate Members     Host a booth at     Attend Techfest     Attend Meeting of the Minds     Give a featured Tech Talk     Host a ""Dinner for Eight"" to network with students and postdocs     Attend workshops and seminars     Receive announcements regarding sponsorship and involvement opportunities for a wide variety of activities such as workshops, student clubs and hackathons, research collaborations, and course projects Individual Members The CMS-EE Department is happy to welcome alumni and other individuals to the CMS-EE Partners Program. Individual members are invited to attend departmental events such as seminars, Techfest, and Meeting of the Minds. The CMS-EE Partners Program is a great way for alumni to stay engaged, or re-engage, with the CMS and EE Departments.","Not publically listed, varies depending on company size",https://cms-ee-partners.caltech.edu?
California Institute of Technology (Caltech),Department,Axonics,"AI, Data Analytics, Fintech, Semiconductors, Autonomous Systems, Hardware & Embedded Systems, Gaming, Aerospace, Biotech, Industrial Tech, Construction","Corporate Member, Individual Member","Corporate Members     Host a booth at     Attend Techfest     Attend Meeting of the Minds     Give a featured Tech Talk     Host a ""Dinner for Eight"" to network with students and postdocs     Attend workshops and seminars     Receive announcements regarding sponsorship and involvement opportunities for a wide variety of activities such as workshops, student clubs and hackathons, research collaborations, and course projects Individual Members The CMS-EE Department is happy to welcome alumni and other individuals to the CMS-EE Partners Program. Individual members are invited to attend departmental events such as seminars, Techfest, and Meeting of the Minds. The CMS-EE Partners Program is a great way for alumni to stay engaged, or re-engage, with the CMS and EE Departments.","Not publically listed, varies depending on company size",https://cms-ee-partners.caltech.edu?
